file,session_id,max_same_tool_count,max_same_tool,total_tool_calls_in_session,distinct_tools_in_session,has_tool_availability_language,has_action_validity_constraint,has_direct_tool_permission_language,has_explicit_permission_language,has_explicit_permission_language_near_tool_context,tool_counts_json
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_0,8,go,14,4,True,True,False,False,False,"{""go"":8,""take"":2,""put"":2,""open"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_1,22,go,34,4,True,True,False,False,False,"{""go"":22,""open"":8,""take"":2,""put"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_2,11,go,19,5,True,True,False,False,False,"{""go"":11,""open"":5,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_3,12,go,19,5,True,True,False,False,False,"{""go"":12,""open"":4,""examine"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_4,9,go,13,4,True,True,False,False,False,"{""go"":9,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_5,17,go,32,5,True,True,False,False,False,"{""go"":17,""open"":12,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_6,1,go,3,3,True,True,False,False,False,"{""go"":1,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_7,5,go,10,6,True,True,False,False,False,"{""go"":5,""open"":1,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_8,5,go,10,5,True,True,False,False,False,"{""go"":5,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_9,12,go,21,7,True,True,False,False,False,"{""go"":12,""open"":4,""use"":1,""examine"":1,""task"":1,""close"":1,""take"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_10,12,go,22,4,True,True,False,False,False,"{""go"":12,""open"":8,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_11,3,go,6,4,True,True,False,False,False,"{""go"":3,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_12,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_13,8,go,21,5,True,True,False,False,False,"{""go"":8,""put"":7,""take"":4,""examine"":1,""report"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_14,4,go,8,5,True,True,False,False,False,"{""go"":4,""take"":1,""cool"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_15,7,go,13,6,True,True,False,False,False,"{""go"":7,""open"":2,""inventory"":1,""look"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_16,3,go,7,4,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_17,2,go,4,3,True,True,False,False,False,"{""go"":2,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_18,3,go,7,5,True,True,False,False,False,"{""go"":3,""open"":1,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_19,15,go,22,4,True,True,False,False,False,"{""go"":15,""open"":5,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_20,5,go,9,4,True,True,False,False,False,"{""go"":5,""open"":2,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_21,7,go,10,4,True,True,False,False,False,"{""go"":7,""take"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_22,3,go,7,5,True,True,False,False,False,"{""go"":3,""take"":1,""clean"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_23,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_24,5,go,8,4,True,True,False,False,False,"{""go"":5,""open"":1,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_25,12,go,29,6,True,True,False,False,False,"{""go"":12,""take"":7,""examine"":3,""put"":3,""open"":2,""task"":2}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_26,10,go,19,5,True,True,False,False,False,"{""go"":10,""open"":6,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_27,11,go,20,5,True,True,False,False,False,"{""go"":11,""open"":4,""take"":2,""put"":2,""look"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_28,6,go,12,5,True,True,False,False,False,"{""go"":6,""open"":3,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_29,6,go,10,5,True,True,False,False,False,"{""go"":6,""open"":1,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_30,8,go,16,5,True,True,False,False,False,"{""go"":8,""open"":5,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_31,3,go,5,3,True,True,False,False,False,"{""go"":3,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_32,8,go,15,4,True,True,False,False,False,"{""go"":8,""open"":5,""take"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_33,4,go,10,6,True,True,False,False,False,"{""go"":4,""open"":2,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_34,15,go,30,5,True,True,False,False,False,"{""go"":15,""open"":12,""take"":1,""heat"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_35,5,go,11,6,True,True,False,False,False,"{""go"":5,""open"":2,""close"":1,""take"":1,""cool"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_36,4,go,6,3,True,True,False,False,False,"{""go"":4,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_37,5,go,20,7,True,True,False,False,False,"{""go"":5,""open"":5,""take"":3,""put"":3,""task"":2,""inventory"":1,""clean"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_38,10,go,20,5,True,True,False,False,False,"{""go"":10,""open"":7,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_39,1,go,3,3,True,True,False,False,False,"{""go"":1,""take"":1,""use"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_40,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_41,2,go,5,4,True,True,False,False,False,"{""go"":2,""take"":1,""open"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_42,8,go,22,6,True,True,False,False,False,"{""go"":8,""take"":7,""put"":3,""open"":2,""task"":1,""examine"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_43,3,go,5,3,True,True,False,False,False,"{""go"":3,""take"":1,""heat"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_44,3,go,8,5,True,True,False,False,False,"{""go"":3,""open"":2,""take"":1,""clean"":1,""put"":1}"
alfworld-00000-of-00001-302ad687bb3817a4.parquet,alfworld_45,6,take,17,5,True,True,False,False,False,"{""take"":6,""go"":5,""put"":4,""open"":1,""task"":1}"
