tool_name,trajectory_count,total_call_count,trajectories_with_count_ge_2,trajectories_with_count_ge_3,trajectories_with_count_ge_4,ntr_ge_3
transfer_to_human_agents,5470,5520,48,2,0,0.00010510826150935464
transfer_to_human_agent,2169,2332,120,25,10,0.0013138532688669329
authenticate_user,2306,2314,6,2,0,0.00010510826150935464
get_reservation_details,1909,1926,16,1,0,5.255413075467732e-05
get_order_status,1416,1509,92,1,0,5.255413075467732e-05
vt_get_objects_related_to_domain,594,1149,312,137,62,0.007199915913390792
log_audit_trail,519,1033,296,147,55,0.007725457220937566
verify_guest_order,940,973,33,0,0,0.0
get_guest_profile,960,962,2,0,0,0.0
get_event_details,799,809,10,0,0,0.0
get_ticket_details,592,757,134,21,6,0.0011036367458482237
authenticate_patient,732,732,0,0,0,0.0
vt_get_domain_report,473,546,49,18,4,0.0009459743535841917
vt_get_objects_related_to_ip_address,294,540,135,59,33,0.0031006937145259617
get_user_profile,515,530,14,1,0,5.255413075467732e-05
get_room_availability,461,530,57,11,1,0.0005780954383014505
get_surge_pricing,486,513,20,4,2,0.00021021652301870928
transfer_to_triage_nurse,395,399,4,0,0,0.0
get_user_details,374,384,9,1,0,5.255413075467732e-05
dispute_payment,365,380,5,5,2,0.00026277065377338656
report_incident,359,359,0,0,0,0.0
handle_compensation,358,358,0,0,0,0.0
vt_get_ip_address_report,247,325,57,12,5,0.0006306495690561278
verify_insurance_eligibility,320,320,0,0,0,0.0
check_seat_availability,294,318,20,4,0,0.00021021652301870928
book_ride,244,265,12,5,2,0.00026277065377338656
apply_loyalty_benefits,257,259,2,0,0,0.0
purchase_tickets,219,230,10,1,0,5.255413075467732e-05
cancel_tickets,221,221,0,0,0,0.0
create_reservation,201,206,2,1,1,5.255413075467732e-05
get_loyalty_details,179,185,5,1,0,5.255413075467732e-05
vt_get_comments_on_domain,171,176,5,0,0,0.0
check_driver_eligibility,166,174,7,1,0,5.255413075467732e-05
modify_reservation,167,167,0,0,0,0.0
check_provider_availability,164,166,2,0,0,0.0
cancel_reservation,162,162,0,0,0,0.0
search_lost_items,161,161,0,0,0,0.0
schedule_appointment,153,154,1,0,0,0.0
get_restaurant_menu,104,132,16,6,6,0.0003153247845280639
check_emergency_tier,123,124,1,0,0,0.0
cancel_ride,116,120,2,2,0,0.00010510826150935464
cancel_order,119,119,0,0,0,0.0
get_driver_details,91,92,1,0,0,0.0
vt_get_dns_resolution_object,72,90,18,0,0,0.0
transfer_ticket,56,80,19,5,0,0.00026277065377338656
modify_ride,75,75,0,0,0,0.0
process_refund,72,72,0,0,0,0.0
process_early_checkin,70,70,0,0,0,0.0
report_lost_item,67,68,1,0,0,0.0
collect_copayment,66,66,0,0,0,0.0
