uuid,split,message_count,user_count,tool_call_count,tool_output_count,complete_pair_count,has_three_calls,has_three_complete_pairs
ff6ab2b0-7551-468c-8606-a7c3b0c75b68,interactive_agent,7,1,1,1,1,0,0
091a4c59-2ffa-4a65-b243-696155c57684,interactive_agent,25,6,2,2,2,0,0
596943ce-b426-4f33-bdd1-4cce7185fe46,interactive_agent,7,1,1,1,1,0,0
78450da8-49f2-4389-8253-4c5597831a44,interactive_agent,7,1,1,1,1,0,0
d3c4bb85-f770-434d-9030-3471c8bf2952,interactive_agent,7,2,0,0,0,0,0
ef5270f5-59d9-48f0-81ab-5edbd00361e1,interactive_agent,19,6,0,0,0,0,0
095a2824-d94e-462c-bd95-8232dafff8dc,interactive_agent,10,2,1,1,1,0,0
1b366314-e8a6-467e-ba5b-530397e48098,interactive_agent,16,4,1,1,1,0,0
dff85203-2002-4554-bdcc-c64ab5ef0625,interactive_agent,7,1,1,1,1,0,0
11a83a93-cbf8-47a1-a3a3-ca0f2ba03100,interactive_agent,16,2,3,3,3,1,1
