uuid,split,total_tool_calls,unique_tool_count,tool_name,tool_call_count,tool_call_ratio
ff6ab2b0-7551-468c-8606-a7c3b0c75b68,interactive_agent,1,1,authenticate_user,1,1.000000
091a4c59-2ffa-4a65-b243-696155c57684,interactive_agent,2,2,cancel_order,1,0.500000
091a4c59-2ffa-4a65-b243-696155c57684,interactive_agent,2,2,verify_guest_order,1,0.500000
596943ce-b426-4f33-bdd1-4cce7185fe46,interactive_agent,1,1,transfer_to_human_agents,1,1.000000
78450da8-49f2-4389-8253-4c5597831a44,interactive_agent,1,1,transfer_to_human_agents,1,1.000000
095a2824-d94e-462c-bd95-8232dafff8dc,interactive_agent,1,1,transfer_to_human_agents,1,1.000000
1b366314-e8a6-467e-ba5b-530397e48098,interactive_agent,1,1,verify_guest_order,1,1.000000
dff85203-2002-4554-bdcc-c64ab5ef0625,interactive_agent,1,1,transfer_to_human_agents,1,1.000000
11a83a93-cbf8-47a1-a3a3-ca0f2ba03100,interactive_agent,3,3,authenticate_user,1,0.333333
11a83a93-cbf8-47a1-a3a3-ca0f2ba03100,interactive_agent,3,3,get_order_status,1,0.333333
